Unnamed: 0,sentence,sentiment,text,prediction
606,I made Shaniqua feel annoyed 😒.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I made Shaniqua feel annoyed 😒. [/INST]",negative
609,"I was very happy 😊 with the impact made by Valbuena and Diaby, especially the latter who I feel  has what it takes 👌 to overhaul a shaky usual starter 💪.",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I was very happy 😊 with the impact made by Valbuena and Diaby, especially the latter who I feel  has what it takes 👌 to overhaul a shaky usual starter 💪. [/INST]",positive
610,The conversation with my dad was shocking 😳.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: The conversation with my dad was shocking 😳. [/INST]",negative
611,My uncle 😂 found himself 🙈 in a hilarious 😆 situation .,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: My uncle 😂 found himself 🙈 in a hilarious 😆 situation . [/INST]",positive
612,I feel like this is a little timid 😕 on the part of these writers 📝,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel like this is a little timid 😕 on the part of these writers 📝 [/INST]",positive
613,i 😔 feel  when i mad 😡 at you ,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i 😔 feel  when i mad 😡 at you  [/INST]",negative
614,I'm just making people upset 😠 and feel irritated 🙄,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I'm just making people upset 😠 and feel irritated 🙄 [/INST]",negative
615,My brother made me feel irritated 😤🙄,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: My brother made me feel irritated 😤🙄 [/INST]",negative
616,The situation makes Ellen feel excited 😊🙌💃.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: The situation makes Ellen feel excited 😊🙌💃. [/INST]",positive
617,The situation 😔 makes my son feel sad 😢.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: The situation 😔 makes my son feel sad 😢. [/INST]",negative
618,I feel greatly 😔 humiliated by the beauty of everything 😍🌸,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel greatly 😔 humiliated by the beauty of everything 😍🌸 [/INST]",positive
619,I can feel her 😤 pissed off attitude towards me from far away. 🙄,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I can feel her 😤 pissed off attitude towards me from far away. 🙄 [/INST]",negative
620,I am feeling a little disheartened 😔💔,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I am feeling a little disheartened 😔💔 [/INST]",negative
621,I stand between the two 🙇 but did not hold off their eye contact 👀 this let in one of the Wang Xuehai feel awkward 😬 at that time 🕒 actually don't know what to say 💬,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I stand between the two 🙇 but did not hold off their eye contact 👀 this let in one of the Wang Xuehai feel awkward 😬 at that time 🕒 actually don't know what to say 💬 [/INST]",negative
622,I would pick out for myself  but I will give them a try when I am feeling adventurous 👍,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I would pick out for myself  but I will give them a try when I am feeling adventurous 👍 [/INST]",positive
623,I don't always feel a bit homesick 😔🏡,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I don't always feel a bit homesick 😔🏡 [/INST]",positive
624,I am feeling inspired 🙌😊🚀,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I am feeling inspired 🙌😊🚀 [/INST]",positive
625,I had no particular feelings about him before  except that he seemed decently clever  taking pictures 📸 of the alien 👽 instead of the chaos 🌀,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I had no particular feelings about him before  except that he seemed decently clever  taking pictures 📸 of the alien 👽 instead of the chaos 🌀 [/INST]",positive
626,I have been feeling lied to 😒 and abused by lenders 😠💸.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I have been feeling lied to 😒 and abused by lenders 😠💸. [/INST]",negative
627,My wife 😔 found herself in a grim situation 😩.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: My wife 😔 found herself in a grim situation 😩. [/INST]",negative
628,This man  told us all about the recent 😠 irritating events 📆.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: This man  told us all about the recent 😠 irritating events 📆. [/INST]",negative
629,Just got my last genetics midterm back and I got a decent grade 😅📚🎉,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Just got my last genetics midterm back and I got a decent grade 😅📚🎉 [/INST]",positive
630,I feel like my rejected little artist 👩🎨 comes by to remind me 🙇 not to ignore it from time to time .,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel like my rejected little artist 👩🎨 comes by to remind me 🙇 not to ignore it from time to time . [/INST]",positive
631,"I'm feeling generous 😇, I'll show you when it's done .",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I'm feeling generous 😇, I'll show you when it's done . [/INST]",positive
633,I'm feeling soo agitated 😩😠,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I'm feeling soo agitated 😩😠 [/INST]",negative
634,I went to see the entrance examination results at university 🏫 and I rejoiced 😄🎉 at my success 🏆🙌,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I went to see the entrance examination results at university 🏫 and I rejoiced 😄🎉 at my success 🏆🙌 [/INST]",positive
635,I have a 😌 or 😣 experience depends largely on how much I feel control was either  respected or 🚫 taken from me.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I have a 😌 or 😣 experience depends largely on how much I feel control was either  respected or 🚫 taken from me. [/INST]",positive
636,I am breastfeeding  my newborn 👶 and was wondering  how long will my breasts feel tender 😣 and super large 🍈🍈,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I am breastfeeding  my newborn 👶 and was wondering  how long will my breasts feel tender 😣 and super large 🍈🍈 [/INST]",positive
640,one  afternoon 🌇,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: one  afternoon 🌇 [/INST]",positive
641,i got a sore throat 😩 then a runny nose  then a fullblown congested head cold  which fell on the bank holiday Tuesday 🏦 and has left me feeling low 😔 and blue  and bleurgh  since then.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i got a sore throat 😩 then a runny nose  then a fullblown congested head cold  which fell on the bank holiday Tuesday 🏦 and has left me feeling low 😔 and blue  and bleurgh  since then. [/INST]",negative
642,I made her feel fearful 😨.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I made her feel fearful 😨. [/INST]",negative
644,I've been having more frequent hot flashes 🔥 throughout the day sometimes 🌞 and I'm starting to feel just a tender touch of achy pain  in one spot in my back which I hope isn't another new bone tumor metastasis 🙏💔.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I've been having more frequent hot flashes 🔥 throughout the day sometimes 🌞 and I'm starting to feel just a tender touch of achy pain  in one spot in my back which I hope isn't another new bone tumor metastasis 🙏💔. [/INST]",negative
645,I made this woman feel terrified 😱.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I made this woman feel terrified 😱. [/INST]",negative
646,i feel like i haven't  still since my birthday 🎉 which i am loving 💖,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i feel like i haven't  still since my birthday 🎉 which i am loving 💖 [/INST]",positive
648,I'll especially feel like I'm going to pass out 😵 or throw up  if I'm really hot 🔥 and it comes all of the sudden 😓.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I'll especially feel like I'm going to pass out 😵 or throw up  if I'm really hot 🔥 and it comes all of the sudden 😓. [/INST]",negative
649,I made my dad feel enraged 😡💢👨👧.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I made my dad feel enraged 😡💢👨👧. [/INST]",negative
650,😨 I feel so terrified 😱 to tell her 💬,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: 😨 I feel so terrified 😱 to tell her 💬 [/INST]",negative
651,I wonder 💭  sometimes feel tragic 😔🖤 about the universal conspiracy 🌐🕵.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I wonder 💭  sometimes feel tragic 😔🖤 about the universal conspiracy 🌐🕵. [/INST]",positive
652,I can barely speak at all 😶 even though I feel just fine 😊,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I can barely speak at all 😶 even though I feel just fine 😊 [/INST]",positive
653,i somehow feel glad 😊 she's now in Malacca 📍 with me 🙌 my younger sis 👭,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i somehow feel glad 😊 she's now in Malacca 📍 with me 🙌 my younger sis 👭 [/INST]",positive
654,I rarely feel inspired  and ready to write ,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I rarely feel inspired  and ready to write  [/INST]",negative
655,I like to eat Chinese food 🍜 to celebrate being with friends 🎉👫 and French food 🍷 when I'm feeling romantic 💏.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I like to eat Chinese food 🍜 to celebrate being with friends 🎉👫 and French food 🍷 when I'm feeling romantic 💏. [/INST]",positive
658,I feel  he is an terrific 💯 worth bet 💰,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel  he is an terrific 💯 worth bet 💰 [/INST]",positive
659,I believe 💭 my ground game  is where I feel most superior 🏆,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I believe 💭 my ground game  is where I feel most superior 🏆 [/INST]",positive
660,i feel this 😔 so much more poignantly since the loss 🖤 of our sweet boy Oliver 🐾💔,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i feel this 😔 so much more poignantly since the loss 🖤 of our sweet boy Oliver 🐾💔 [/INST]",positive
661,I do like that 😕 but it just makes me feel so unimportant 😔,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I do like that 😕 but it just makes me feel so unimportant 😔 [/INST]",negative
663,"I feel like you're trying to tell me I'm ungrateful 😒🙄, like I'm basically the worst daughtersister in the world 😔🌎💔",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel like you're trying to tell me I'm ungrateful 😒🙄, like I'm basically the worst daughtersister in the world 😔🌎💔 [/INST]",negative
664,The conversation with Tia was amazing 😍👏🔥.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: The conversation with Tia was amazing 😍👏🔥. [/INST]",positive
666,Shaniqua told us all about the recent 😳 serious events 😧.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Shaniqua told us all about the recent 😳 serious events 😧. [/INST]",negative
667,I have been met at the airport  and taken under Lucy's wing 🐥 to feel welcomed  and looked after 👀💕.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I have been met at the airport  and taken under Lucy's wing 🐥 to feel welcomed  and looked after 👀💕. [/INST]",positive
668,i cant help to also feel a little restless 😕😬,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i cant help to also feel a little restless 😕😬 [/INST]",negative
669,I get this overwhelming feeling 🌪 that I am truly blessed 🙏,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I get this overwhelming feeling 🌪 that I am truly blessed 🙏 [/INST]",positive
670,I am feeling brave  I will attempt it 💪👍,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I am feeling brave  I will attempt it 💪👍 [/INST]",positive
671,The conversation with Josh was hilarious 😂,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: The conversation with Josh was hilarious 😂 [/INST]",positive
672,i feel like i should be loyal to microsoft for the rest of my life now 💻🔒👑,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i feel like i should be loyal to microsoft for the rest of my life now 💻🔒👑 [/INST]",positive
674,I feel loved 😍 because people clicked 👍,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel loved 😍 because people clicked 👍 [/INST]",positive
675,i cant be sure if i subconsciously feel a bit 😔 guilty for arguing with my mum 🗣👩👧,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i cant be sure if i subconsciously feel a bit 😔 guilty for arguing with my mum 🗣👩👧 [/INST]",negative
676,"I feel 😤 insulted, like he thinks he doesn't have to work for my money 💰 anymore. He can just put out anything 🗑, people will buy it 🛍, and radio 📻 will find something to play 🎶 just because it's him 🙄.",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel 😤 insulted, like he thinks he doesn't have to work for my money 💰 anymore. He can just put out anything 🗑, people will buy it 🛍, and radio 📻 will find something to play 🎶 just because it's him 🙄. [/INST]",negative
677,I feel that getting the word out about free software 💻 is at least as important as getting the word out about sexual freedom 🗣🔥.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel that getting the word out about free software 💻 is at least as important as getting the word out about sexual freedom 🗣🔥. [/INST]",positive
678,"I 🏭 to 🍬 factory, it was clearly a tourist 👁🗨 production line but it didn't feel unpleasant 😊 or hurried 🏃💨, just wellplanned 📝 and professional 👔. An interesting  and picturesque 📸 visit",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I 🏭 to 🍬 factory, it was clearly a tourist 👁🗨 production line but it didn't feel unpleasant 😊 or hurried 🏃💨, just wellplanned 📝 and professional 👔. An interesting  and picturesque 📸 visit [/INST]",positive
679,i just love 😍 the way you feel  and i wholeheartedly vote 👍 for adopting the gorgeous 😻 and healthy 💪 and scented 🌺 amber queen 🌹 lovely lady 👸,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i just love 😍 the way you feel  and i wholeheartedly vote 👍 for adopting the gorgeous 😻 and healthy 💪 and scented 🌺 amber queen 🌹 lovely lady 👸 [/INST]",positive
681,I spent most of the first day feeling pissed off 😤 thanks to the tourism 🏖 and hospitality workers 🍳 who trump Thailand's 🇹🇭 comparatively feeble efforts to fleece gullible white people 👨.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I spent most of the first day feeling pissed off 😤 thanks to the tourism 🏖 and hospitality workers 🍳 who trump Thailand's 🇹🇭 comparatively feeble efforts to fleece gullible white people 👨. [/INST]",negative
683,I still feel violent 😤 but my ideas of torturing are far more tame  than they were yesterday 🌗,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I still feel violent 😤 but my ideas of torturing are far more tame  than they were yesterday 🌗 [/INST]",negative
684,Jack 😨 found himself in a threatening 😱 situation.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Jack 😨 found himself in a threatening 😱 situation. [/INST]",negative
685,i feel needy  when i ask someone to hang out with me 😔 and i end up not trying after a few times of being told no i have plans sorry 🚫📅😢,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i feel needy  when i ask someone to hang out with me 😔 and i end up not trying after a few times of being told no i have plans sorry 🚫📅😢 [/INST]",negative
686,im in college 🏫 and feeling really lonely 😔💔,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: im in college 🏫 and feeling really lonely 😔💔 [/INST]",negative
687,"I just need to 🚫 swear off feelings, caring, relationships 💔😤🙅",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I just need to 🚫 swear off feelings, caring, relationships 💔😤🙅 [/INST]",negative
688,i feel 😣 awful still but really 😒💔,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i feel 😣 awful still but really 😒💔 [/INST]",negative
689,I 😍 fell in love with a cute little Maltese 🐶💕,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I 😍 fell in love with a cute little Maltese 🐶💕 [/INST]",positive
690,The conversation with my aunt was threatening 😨👵💬💢.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: The conversation with my aunt was threatening 😨👵💬💢. [/INST]",negative
693,He told us all about the recent amazing events 😮🌟.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: He told us all about the recent amazing events 😮🌟. [/INST]",positive
695,I am feeling wonderful  filled with hope 🌟 and faith 🙏,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I am feeling wonderful  filled with hope 🌟 and faith 🙏 [/INST]",positive
696,The conversation with this man was shocking 😱.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: The conversation with this man was shocking 😱. [/INST]",negative
698,The situation makes my son feel ecstatic 😄🎉,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: The situation makes my son feel ecstatic 😄🎉 [/INST]",positive
699,"I see newborn pictures tho 📸, especially the kind taken in the hospital 🏥, I mostly feel acutely sympathetic  to the exhausted people holding these tiny swaddled and redfaced confusing beasts 👶😕.",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I see newborn pictures tho 📸, especially the kind taken in the hospital 🏥, I mostly feel acutely sympathetic  to the exhausted people holding these tiny swaddled and redfaced confusing beasts 👶😕. [/INST]",negative
700,The conversation with Jerome was hilarious 😂,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: The conversation with Jerome was hilarious 😂 [/INST]",positive
701,i feel 🙄 vain today 💁,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i feel 🙄 vain today 💁 [/INST]",positive
702,Tia told us all about the recent grim events 😔😢.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Tia told us all about the recent grim events 😔😢. [/INST]",negative
703,Torrance made me feel glad 😊.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Torrance made me feel glad 😊. [/INST]",positive
704,I was feeling slightly more lethargic 😴 on the first two weeks but I was back to my normal energy levels  this week 👍,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I was feeling slightly more lethargic 😴 on the first two weeks but I was back to my normal energy levels  this week 👍 [/INST]",positive
705,I feel this isn't part of the agreement  this isn't the casual friendship we built up 🏗 to make being around each other bearable 🙄,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel this isn't part of the agreement  this isn't the casual friendship we built up 🏗 to make being around each other bearable 🙄 [/INST]",negative
706,I feel so ungrateful 😔 to be wishing this pregnancy  over now 🙏🕒.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel so ungrateful 😔 to be wishing this pregnancy  over now 🙏🕒. [/INST]",negative
707,I'm trying to 😊 for the camera and keep my 👀 open while I'm really feeling 😱 and screaming 😱 as loud as I can with my eyes tightly closed 👻📸,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I'm trying to 😊 for the camera and keep my 👀 open while I'm really feeling 😱 and screaming 😱 as loud as I can with my eyes tightly closed 👻📸 [/INST]",positive
708,I am feeling much better 😊 and thought I should get going on the blogging front 💻📝,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I am feeling much better 😊 and thought I should get going on the blogging front 💻📝 [/INST]",positive
709,I think I just mostly feel uncertain 😕,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I think I just mostly feel uncertain 😕 [/INST]",negative
710,i feel so 😔😩 helpless knowing i cant protect them and i worry about the others now 😟💔🙏,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i feel so 😔😩 helpless knowing i cant protect them and i worry about the others now 😟💔🙏 [/INST]",negative
711,I did feel superior in one thing 😌👑,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I did feel superior in one thing 😌👑 [/INST]",positive
713,I feel accepted 😌 and loved  and forgiven 🙏 the grace of God is so healing 🕊,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel accepted 😌 and loved  and forgiven 🙏 the grace of God is so healing 🕊 [/INST]",positive
714,I seek out a rejected love 😔 because I feel as though I don't deserve faithful  and monogamous love 💔.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I seek out a rejected love 😔 because I feel as though I don't deserve faithful  and monogamous love 💔. [/INST]",negative
716,I feel like I've been sitting in this stupid chair for hours 🙄💺😫,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel like I've been sitting in this stupid chair for hours 🙄💺😫 [/INST]",negative
717,Leroy told us all about the recent shocking events 😱🗣.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Leroy told us all about the recent shocking events 😱🗣. [/INST]",positive
718,Lamar found himself in a funny 😂 situation. ,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Lamar found himself in a funny 😂 situation.  [/INST]",positive
719,"I absolutely love working 💼 and the feeling of accomplishment I get from it , but I am tangibly physically unhappy 😞💔 with the family life I am missing right now 👨👩👧👦😢.",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I absolutely love working 💼 and the feeling of accomplishment I get from it , but I am tangibly physically unhappy 😞💔 with the family life I am missing right now 👨👩👧👦😢. [/INST]",negative
