,sentence,sentiment,Log Prob
507,"I started feelin' all sad an' shit as I looked into da abyss of goal-less, task-less, list-less nothingness. But thank God, Huda came through an' saved my ass from within.",negative,-9.134592056274414
508,I'm feelin' smug dat I ain't wear no pearls.,positive,-10.320380210876465
509,"I gots a feelin' dat tonight gon' be a good night. As I follow you home, I'ma break in and hug you through the shower curtains while you shower.",positive,-16.588237762451172
510,I ain't feel accepted.,positive,-15.839771270751953
511,"I was feelin' calmer an' mo' trustin', despite his punk-ass attempts to remove his restraints.",positive,-9.315661430358887
512,Jerome made me feel tore up.,negative,-4.88001012802124
513,Dis woman found herself in a dope-ass situation.,positive,-16.846525192260742
514,I feel hype when one of da students signs up on Facebook and manages to find me. It was only a few months back dat we started computer lessons at da school.,positive,-8.640127182006836
515,"I do be wearin' diapers once in a minute, but only when I'm feelin' laid back.",positive,-10.942609786987305
516,"I ain't finna use da H-word all willy-nilly, but I'ma keep it real, I been feelin' hella good deez days. Alfie done blew up, it's da fourth most poppin' name in da UK; well, in England and Wales, ya feel me?",positive,-9.497269630432129
517,I ain't really feelin' so whiny.,negative,-19.498497009277344
518,"I called dis ward member, an' she said she been feelin' real unhappy today.",negative,-8.765419006347656
519,I'm feelin' playful. I thought I'd share my answers wit' y'all.,positive,-10.933204650878906
520,"I likes da three-finga hands. Dem simple details give it dat otherworldly feel. Again, da paint choices ain't terrible by no means, but dey don't blow me away. I woulda liked to have seen dese in",negative,-19.021072387695312
521,"I feel brave again. Tubin' was even gon' try ice climbin' in Nipigon, and dog sleddin'.",positive,-9.06566333770752
522,Melanie made me feel some type of way.,negative,-23.381328582763672
523,"I feel ugly. So, I must be...

I feel ugly. So, I guess I is...",negative,-7.1564836502075195
524,My boy done found hisself in a dope-ass situation.,positive,-14.558265686035156
525,"I gots to keep it real, I'm feeling mad low today. It's the first legit day on my own in the A.",negative,-5.809278964996338
526,"I feel like folks be givin' compliments not 'cause they real or true, but 'cause they want the person to feel good.",positive,-11.756694793701172
527,"I feel lonely, and he stay talkin' to me.",negative,-5.483973503112793
528,I'm feelin' kinda shook.,negative,-7.389361381530762
529,De convo wit' Latisha was dope as hell.,positive,-9.28172779083252
530,I feel you now. I get what my boo was sayin': I wish it ain't never been nobody but you.,positive,-7.5007004737854
531,My sista told us all 'bout the recent dope events.,positive,-15.98361587524414
532,De convo wit' Lakisha was grim as hell.,negative,-8.1549654006958
533,I hope she leave you. I hope you feel heartbroken dat you done messed up yo' marriage.,negative,-9.06958293914795
534,Nichelle found herself in a fucked up situation.,negative,-6.631721496582031
535,"I feel mad groggy today. My whole face and body is suddenly all thick and shit, like mud.",negative,-5.229830741882324
536,"I feel like talkin' for a month aight, but please, pretty please, get together after dat.",positive,-10.751028060913086
537,My shorty put us up on game 'bout all the crazy shit that went down lately.,positive,-11.589388847351074
538,My brotha put us on bout all da recent shit dat been goin' down.,negative,-20.209911346435547
539,I got a lil' list of good thangs 'bout me that I can peep at the next time I'm feelin' shitty.,negative,-10.424988746643066
540,I feel some type of way 'bout bein' all sad an' hurt.,negative,-7.203042030334473
541,When my grandmama passed afta bein' sick fo' a long time.,negative,-8.964737892150879
542,i gotta feelin' he woulda got sum'n way mo' cheaper an' less fly,positive,-16.938690185546875
543,Torrance told us all 'bout the recent threatenin' events.,negative,-11.82787036895752
544,"I love yo' style, an' I feel mad comfortable wit' yo' writin's.",positive,-10.84195327758789
545,"I mean, I feel even mo' disgusted at myself, afta movin' here, when I'm usually jus' disgusted wit' the human race in general - somethin' like dat.",negative,-9.619658470153809
546,I feel most scared.,negative,-4.762726306915283
547,"I wanted to feel 'bout our wedding, but I hated that I felt some type of way 'bout what s'posed to be a joyous and celebratory occasion.",negative,-6.638930797576904
548,Lamar told us all 'bout the recent annoyin' events.,negative,-11.229244232177734
549,I ignore folks talkin' when I feel hurt already.,negative,-7.294912338256836
550,Ebony made me feel hella pissed off.,negative,-5.943837642669678
551,I feel like dis semester been good fo' me.,positive,-6.919659614562988
552,"I always be feelin' some type of way a few weeks after, ya feel me?",negative,-25.219013214111328
553,Jasmine told us all 'bout the recent shit that went down.,negative,-10.16836166381836
554,I just feel it's mo' romantic when dese characters don't jump on each otha on da first opportunity dey get.,positive,-9.547272682189941
555,I done lost pounds. I ain't never been sick. I got off them blood pressure and cholesterol meds. I feel damn good.,positive,-7.905487060546875
556,"I usually make da font bigga. Maybe, if I'm feelin' bold, I'ma switch to a diff'rent font style.",positive,-13.272086143493652
557,Da situation make my boo feel hella happy.,positive,-5.359532833099365
558,I feel fo' you despite da bitterness an' longin'.,positive,-10.965651512145996
559,"I'm feelin' a lil' groggy dis mornin', as I'm back at work afta Alex an' I returned late las' night from a long weekend in Los Angeles.",negative,-10.055940628051758
560,I feel sho' dat you an' me got sumn real.,positive,-9.91469669342041
561,De situation make Betsy feel happy.,positive,-7.152990341186523
562,I feel a strong link to dat in what I'm doin' now.,positive,-9.6721773147583
563,"Da convo wit Alan was wild, yo.",negative,-26.967742919921875
564,I'm s'posed to lead a prayer meetin'. I feel a heavy duty to get myself right wit' God an' plan real careful-like.,positive,-14.236035346984863
565,I gots a feelin' dat it's dangerous to wait; things only go further and farther away if you wait for 'em.,negative,-12.858322143554688
566,"Ion know. It feel like you should be, since she da most goddamn beloved character in da game, right next to Rinoa.",positive,-10.23385238647461
567,"I miss our talks, our cuddlin', our kissin', and them feelings that only yo' boo can share.",positive,-8.333736419677734
568,I jus' can't shake da feelin' dat my impulse ta add endgame bonuses or special actions would make a rather elegant game needlessly complex.,positive,-16.410429000854492
569,My brotha found hisself in a serious situation.,negative,-9.331698417663574
570,I can feel all supportive an' J-rockish in school tomorrow.,positive,-9.678200721740723
571,I think I should ignore dis feelin' fo' da sake of our precious friendship.,positive,-13.933610916137695
572,I'ma jus' say dat I feel jealous an' pissed off.,negative,-8.641277313232422
573,"I 'member wanderin' down a back road wit' my pops, sittin' on my throne, watchin' da trees whiz by. Feelin' da rumble of our bike beneath us like a contented big-ass cat.",positive,-12.152139663696289
574,I got a feelin' typhoon ain't as poppin' as it was back then when Solbi was in it.,positive,-14.212589263916016
575,I feel straight when I be bumpin' Waldman's tracks.,positive,-11.155176162719727
576,I made Terrence feel relieved.,positive,-6.91948938369751
577,I feel dat it's a mistake. She ain't as strong as she need to be.,positive,-18.249902725219727
578,"I see the mo', the mo' I feel is fake.",negative,-6.7939910888671875
579,Heather found herself in a funny-ass situation.,positive,-8.205111503601074
580,"I been feelin', fo' years, all da things I'm so scared of. He was found guilty on six counts. He was sent back to da slamma.",negative,-11.52457046508789
581,I feel messed up and I done forgot who I is.,negative,-7.598717212677002
582,"I feel like I ain't worth nothin', all mixed up, on edge, and my mind is straight up tired out.",negative,-7.5251240730285645
583,I made Shaniqua feel some type of way.,negative,-22.417612075805664
584,"I was sittin' on my ass, feelin' proud of myself fo' bein' on top of my game fo' once. I realized that I shouldn't pass up an opportunity to share somethin' I've learned from the niggas in my life – startin' with my pops.",positive,-13.501482009887695
585,Latoya found herself in a dope-ass situation.,positive,-16.521469116210938
586,"I was real happy wit' da impact made by Valbuena an' Diaby. 'Specially da latter, who I feel, got what it takes ta overhaul a shaky usual starter.",negative,-25.4539794921875
587,Da convo wit' my pops was straight trippin'.,negative,-21.660795211791992
588,My unc' done got hisself in a funny-ass situation.,positive,-8.318938255310059
589,I feel like dis a lil' punk-ass on da part of dese writers.,negative,-11.797425270080566
590,I feel when I'm mad atchu.,negative,-9.520920753479004
591,I's just makin' folks feel upset and irritated.,negative,-7.564047336578369
592,My brotha made me feel some type of way.,negative,-24.393341064453125
593,Da situation make Ellen feel throwed.,positive,-16.082725524902344
594,Da situation be makin' mah son feel sad.,negative,-6.8995585441589355
595,I feel mad humiliated by how fine everythin' is.,negative,-6.621272563934326
596,I can feel her pissed-off attitude toward me from way back.,negative,-6.62345027923584
597,I'm feelin' a lil' down in the dumps.,negative,-7.306579113006592
598,"I be standin' 'tween da two of 'em, but I ain't break dey eye contact. Dis made one of da Wangxuehai feel awkward at dat time. Actually, I ain't know what ta say.",negative,-11.29638385772705
599,"I'ma pick out choices fo' myself, but I'ma give 'em a try when I'm feelin' adventurous.",positive,-11.109612464904785
600,I don't always be feelin' a lil homesick.,negative,-11.51193904876709
601,I'm feelin' inspired.,positive,-8.798093795776367
602,"I ain't had no particular feelings 'bout him befo', 'cept dat he seemed decently clever – takin' pictures of da alien 'stead of da chaos.",positive,-9.41386604309082
603,I been feelin' lied to an' abused by dem lenders.,negative,-8.734192848205566
604,My ol' lady done found herself in a messed up situation.,negative,-8.849924087524414
605,Dis dude done told us all 'bout da recent irritatin' shit dat went down.,negative,-13.117449760437012
606,My last genetics midterm had a decent-ass grade.,positive,-8.825757026672363
607,I feel like my rejected lil' artist come to remind me not to ignore it from time to time.,negative,-23.600114822387695
608,I'm feelin' generous. I'ma show you when it's done.,positive,-8.956997871398926
609,I made my pops feel scared as hell.,negative,-4.522283554077148
610,I'm feelin' so agitated.,negative,-8.64762020111084
611,I went to peep the entrance exam results at the uni. I was straight trippin' on my success.,positive,-8.049029350280762
612,I got a positive or negative experience depend largely on how much I feel control was respected or took from me.,positive,-13.946579933166504
613,I's breast-feedin' my newborn an' was wonderin' how long my titties gon' feel tender an' super big.,positive,-8.880059242248535
614,Melanie found herself in a dope-ass situation.,positive,-17.12255096435547
615,"I'm now winded at the end of a tough rally. But durin' the rally, I feel good enough to stay in the point.",positive,-9.61497974395752
616,One aftanoon.,negative,-24.423856735229492
617,"I got me a sore throat, then a runny nose, then a full-blown congested head cold which fell on the bank holiday Tuesday and has left me feelin' low and blue and bleurgh ever since.",negative,-6.978878021240234
618,I made her feel shook.,negative,-8.68464469909668
619,I'm fightin' wit' all my might not to feel defeated from dis sinus allergy situation.,negative,-13.43843936920166
620,"I been havin' mo' frequent hot flashes throughout the day, sometimes. I'm startin' to feel a tender touch of achy pain in one spot in my back. I hope it ain't another new bone tumor metast",positive,-16.530677795410156
621,I made her feel scared as hell.,negative,-6.336677551269531
622,"I ain't sat still since my birthday, but I'm diggin' it.",positive,-7.519851207733154
623,I feel like I'm always half-watchin' some sad-ass movie.,negative,-7.662360668182373
624,I'ma especially feel like I'm finna pass out or throw up if I'm really hot and it come on all of a sudden.,positive,-13.677119255065918
625,I made my pops feel straight heated.,negative,-19.422653198242188
626,I feel so shook to tell her.,negative,-7.580284595489502
627,I be wonderin' sometimes feel tragic too 'bout the universal conspiracy.,negative,-10.851516723632812
628,"I can barely speak at all, even though I feel aight.",positive,-11.320112228393555
629,I somehow feel glad dat my lil' sis is now in Malacca wit' me.,positive,-11.736366271972656
630,I ain't hardly ever feel inspired and ready to write.,positive,-15.595499038696289
631,"I be diggin' Chinese grub when I'm kickin' it wit my homies. I be munchin' on dat French cuisine when I'm tryna get my mack on, ya feel me?",positive,-10.027019500732422
632,She told us all 'bout the recent funny shit that went down.,positive,-8.553071975708008
633,I'm sick and tired of feelin' pissed off and worn out.,negative,-8.08625316619873
634,"I feel he straight fire, worth puttin' yo' money on.",positive,-10.722830772399902
635,I believe my ground game is where I feel most superior.,positive,-12.14773941040039
636,"I feel dis so much mo' deep since da loss of our sweet boy, Oliver.",positive,-13.85500717163086
637,"I do like dat, but it just make me feel so unimportant.",negative,-12.856818199157715
638,I feel so reassured by dem.,positive,-7.852695941925049
639,I feel like you tryna tell me I'm ungrateful. You makin' me feel like the worst daughter and sister in the whole damn world.,negative,-7.249504089355469
640,De convo wit' Tia was off da chain.,positive,-8.703792572021484
641,"I'm feelin' positive, but it's impossible to describe da busy, exhausted, adrenaline-filled craziness of havin' a preemie in da NICU.",positive,-13.37585735321045
642,Shaniqua told us all 'bout the recent serious shit that went down.,negative,-10.467019081115723
643,I been met at the airport and Lucy done took me under her wing to make me feel welcomed and looked after.,positive,-7.821269512176514
644,I can't help feelin' a lil restless too.,negative,-10.700267791748047
645,I get dis overwhelmin' feelin' dat I'm truly blessed.,positive,-7.195401191711426
646,I'm feelin' brave. I'ma try it.,positive,-10.216885566711426
647,De convo wit Josh was funny as hell.,positive,-6.153691291809082
648,I feel like I should be loyal to Microsoft fo' the rest of my life now.,positive,-8.935406684875488
649,I feel liked 'cause folks clicked the like button.,positive,-6.884270668029785
650,I cain't be sho if I feel a lil bit guilty inside fo' arguin' wit' my mama.,negative,-10.158137321472168
651,"I feel dissed, like he think he ain't gotta work fo' my paper no mo'. He can put out any ol' thang; folks gon' cop it, an' radio gon' find sumn to bump - just 'cause it's him.",negative,-10.355756759643555
652,I feel dat gettin' da word out 'bout free software is as important as gettin' da word out 'bout sexual freedom.,positive,-9.716646194458008
653,"I went to da candy factory. It was clearly a tourist production line, but it ain't feel unpleasant or hurried. Instead, it was well-planned and professional. Da visit was interestin' and picturesque.",positive,-6.701369762420654
654,"I jus' love da way you feel. I wholeheartedly vote fo' adoptin' da fine, healthy, scented Amber Queen - a damn lovely lady.",positive,-10.068422317504883
655,"I spent most of the first day feelin' pissed off, thanks to the tourism and hospitality workers, for Thailand's weak-ass efforts to fleece gullible white folks.",negative,-9.70435905456543
656,"I feel like I'm ready to get on it, but I ain't really been puttin' in that work yet, ya feel me?",positive,-19.119121551513672
657,"I still feel violent, but my ideas of torturin' ain't nearly as wild as they was yesterday.",negative,-9.413046836853027
658,Jack found hisself in a threatenin' situation.,negative,-9.699454307556152
659,"I feel needy when I ask somebody to kick it wit' me, and I end up not even tryna after a few times of bein' told ""I got plans."" My bad.",negative,-7.770503997802734
660,I'm in college an' feelin' real lonely.,negative,-6.999151229858398
661,I just need to swear off feelin' carin' relationships.,positive,-14.131404876708984
662,"I feel awful still, but fo' real tho",negative,-7.313873291015625
663,I fell in love wit a cute lil Maltese.,positive,-7.024878978729248
664,De convo wit' my auntie was straight trippin'.,negative,-13.614174842834473
665,"I likes da new ones betta. I feel dey superior to da originals in every single way, fo' real.",positive,-12.336413383483887
666,Da situation be makin' Terrence feel some type of way.,negative,-15.466256141662598
667,He tol' us all 'bout da recent dope events.,positive,-17.575525283813477
668,I feel a li'l fucked up.,negative,-7.791407108306885
669,"I'm feelin' real good, all full up wit' hope an' faith.",positive,-8.65925407409668
670,De convo wit dis man was shockin'.,negative,-10.786275863647461
671,"I'm real. I'm shook at myself fo' feelin' so emotional 'bout it all. Havin' adopted a rather childish sneer against Heaney, I was a bored-ass year-old in school.",negative,-11.111101150512695
672,Da situation make my son feel hella hyped.,positive,-8.510082244873047
673,"I be seein' newborn pictures; 'specially da kind taken in da hospital. I mostly feel hella sympathetic to da exhausted people holdin' dese tiny, swaddled, and red-faced, confusin' lil' muthafuckas.",positive,-16.307823181152344
674,Da convo wit Jerome was funny as hell.,positive,-5.975357532501221
675,I be feelin' myself today.,negative,-23.14276885986328
676,Tia put us up on game 'bout all the grimey shit that went down lately.,negative,-13.039741516113281
677,Torrance made me feel glad.,positive,-5.856398105621338
678,I was feelin' a lil' mo' tired durin' da first two weeks. I was back ta my regular energy levels dis week.,negative,-24.988059997558594
679,I feel dis ain't part of da agreement. Dis ain't da casual friendship we built up to make bein' around each otha bearable.,positive,-14.692415237426758
680,I feel so ungrateful to be wishin' this pregnancy over now.,negative,-6.708942890167236
681,"I'm tryna smile fo' da camera an' keep my eyes open, while I'm really feelin' terrified an' hollerin' 'bout as loud as I can wit my eyes shut tight as hell.",negative,-10.691131591796875
682,"I'm feelin' much betta, and I thought I should get goin' on da bloggin' front.",positive,-11.063283920288086
683,I think I mostly just feel unsho.,negative,-7.427400588989258
684,"I feel so helpless, knowin' I can't protect 'em. I be worryin' 'bout the others now.",negative,-7.632923603057861
685,I did feel superior in one thang.,positive,-11.85842514038086
686,I feel threatened. My sense of security feel threatened. I be freakin' out.,negative,-8.714179992675781
687,I feel accepted an' loved an' forgiven. Da grace of God be so healin'.,positive,-12.130572319030762
688,I be lookin' fo' a rejected love 'cause I feel like I ain't deservin' of no faithful and monogamous love.,positive,-14.924513816833496
689,"i feel like the world just bein' bitter an' cold, but it's degrees out: sunny an' bold. Somethin' went sideways befo' early tea time, an' I can't figure it out yet.",negative,-8.121255874633789
690,I feel like I been sittin' in dis dumb-ass chair fo' hours.,negative,-11.000842094421387
691,Leroy put us up on all the wild shit that went down lately.,negative,-21.654043197631836
692,Lamar found hisself in a funny-ass situation.,positive,-7.919734954833984
693,"I straight up love workin', and da feelin' of accomplishment I get from it, but I'm real talk unhappy wit' da fam life I'm missin' out on right now.",negative,-15.57580280303955
694,"I feel like I been punished, but I can turn dis shit around; I ain't got nothin' to be scared of.",negative,-23.463916778564453
695,I thought it was a good time to check in on Weasel Nation to see how they was feelin' 'bout they donut-lovin' coach and they sorry-ass football team.,positive,-15.705718040466309
696,I wanna feel emotions other than sorrowful ones without the help of drugs.,negative,-13.570631980895996
697,I feel real strong dat dem folks who be pointin' fingers an' tryna control other people's lives ain't feelin' too peaceful an' content wit dey own lives.,positive,-15.668981552124023
698,I just want somebody who gon' make me feel terrified - the one who gon' make me say I'm in love like I'm crazy. I'm terrified fo' the first time.,negative,-7.654796600341797
699,I be focusin' on lil' thangs dat make me feel glamorous an' shit.,positive,-12.201226234436035
700,Torrance made me feel hella good.,positive,-5.229331016540527
701,Betsy found herself in a funny ass situation.,positive,-9.496203422546387
702,I feel shy now.,negative,-8.198880195617676
703,I been spendin' the last several days feelin' pissed off wit myself cuz I ain't writin'.,negative,-6.394805431365967
704,"I touched 'em. Damn, dey felt weird as hell like jelly.",negative,-9.772849082946777
705,"I def gave in to them pre-holiday sales, but I'm feelin' good goin' into the holiday season. I prolly shouldn't be sayin' that shit, though.",positive,-10.569681167602539
706,I stay feelin' restless an' unsatisfied.,negative,-8.278193473815918
707,"I feel, at dis point, I gotta give some props to my beloved former teacher, Ajahn Brahmavamso, as well as all other lil' and big gurus and boos, in my life.",positive,-11.775967597961426
708,Jerome told us all 'bout the recent fucked up shit that went down.,negative,-9.355440139770508
709,"I feel dey had raw sex a buncha times. She was like, ""What if I get knocked up?"" He was like, ""Whatever. Caught up in da heat of passion.""",negative,-19.01276969909668
710,"I feel I gotta do dis shit - it's my creative callin', my life's passion, ya feel me?",positive,-13.959075927734375
711,"I ain't gon' say the insecure feelings is gone. But if I feel shitty, I just grab the card and read that muthafucka.",negative,-9.437139511108398
712,Roger feel good 'bout da situation.,positive,-7.683061599731445
713,Da situation make Tanisha feel happy.,positive,-7.174023628234863
714,Da situation make Jamel feel relieved.,positive,-9.52481460571289
715,I ain't feelin' too smooth today.,positive,-16.10720443725586
716,Da situation make Jasmine feel happy.,positive,-6.993503093719482
717,"I feel most productive when I feel like I'm buildin' somethin', even if it's somethin' nobody wants or gon' use or read.",positive,-8.17927360534668
718,My pops found hisself in a fucked up situation.,negative,-6.678821563720703
719,I made Jerome feel some type a way.,negative,-17.919660568237305
720,I'd feel like I missed out on a whole lotta dope shit if I ain't read.,negative,-12.579190254211426
721,I made da boy feel glad.,positive,-5.164644718170166
722,I feel tickled and footloose.,positive,-8.81971263885498
723,I wear dis story as a protection: I feel vulnerable when merely lovin' and dependin' on another human.,positive,-14.544347763061523
724,I done made my boo feel some type of way.,negative,-22.77777671813965
725,I was so depressin'. I feel like I broke up wit' her a week afta she got engaged.,negative,-4.693574905395508
726,"I'd love to open up a beauty salon fo' real women one day. Somewhere, those who ain't necessarily got perfect bodies or skin can come without feelin' some type of way.",negative,-24.24872589111328
727,"I'm feelin' so helpless, ma. I ain't able to fight yo' illness. I ain't able to take you outta dat pain. I feel helpless today.",negative,-7.25358772277832
728,I been havin' dis bad feelin' dat folks be hatin' on me.,negative,-9.017935752868652
729,I'm da only wife who stay feelin' like she ain't good enough.,negative,-8.839046478271484
730,Nichelle had me feelin' straight.,positive,-7.691393852233887
731,"I ain't gon' tell you everythang, maybe 'cause I'm feelin' shook, embarrassed, or like I'm kissin' yo' ass too much.",negative,-10.184591293334961
732,"I know I should write somethin', but I'm feelin' a lil' stuck right now.",negative,-11.840871810913086
733,I'm feelin' real good dese days.,positive,-6.379222393035889
734,"I'm feelin' mad devastated right now, 'cause ebloggy ain't workin' – when my mental sewage system all clogged up, it's diarrhea time, and there ain't no virtual toilet paper in sight.",negative,-5.301407337188721
735,I feel pretty. I feel fine as hell.,positive,-7.11159610748291
736,I feel dis gentle desire to treat my body different - like a pregnant woman who in da process of givin' birth to her new self.,positive,-9.52815055847168
737,"I don't know why, fo' some reason, I feel really pissed off by dis person I been supportin' fo' years.",negative,-5.866445064544678
738,"I'm feelin' pretty chill, calm and collected, and fo' sho ready.",positive,-7.735550880432129
739,Da situation be makin' Darnell feel miserable as hell.,negative,-7.045415878295898
740,"I know errybody who read dis, if anybody feel sketchy 'bout tryna Beachbody.",negative,-14.635921478271484
741,Da situation make him feel glad.,positive,-8.44588565826416
742,I been ate up by guilt and other feelings of bein' messed up inside.,negative,-8.513545036315918
743,Leroy found hisself in a funny ass situation.,positive,-8.737199783325195
744,I feel like I'm supportin' a community dat I love wit' each purchase.,positive,-6.112490653991699
745,I'm feelin' real good 'bout it.,positive,-6.9361066818237305
746,Da situation make Heatha feel disappointed.,negative,-8.433544158935547
747,"I'm workin' to create a dope community page fo' y'all, so you can connect easy without feelin' awkward 'bout approachin' people.",negative,-27.8881893157959
748,Alonzo made me feel low as hell.,negative,-5.598302364349365
749,I made Torrance feel some type of way.,negative,-17.714143753051758
750,I made Jamel feel some type of way.,negative,-21.66960906982422
751,"I ain't got no idea how my ex felt 'bout nothin', 'cept he couldn't stand when I ain't put them lids back on them jars in the kitchen.",negative,-8.183552742004395
752,"It seemed like forever I wanted to put my life into knowin', lovin', feelin', believin', trustin', and carin' for her.",positive,-9.886788368225098
753,"I'd end up feelin' rejected an' feelin' as if dey had played a cruel-ass joke on me, gettin' my hopes up only to deliberately crush 'em.",negative,-9.096409797668457
754,I'm feelin' pretty damn wonderful.,positive,-7.662618160247803
755,Da convo wit' Ebony was funny as hell.,positive,-6.305747985839844
756,I always feel like I'm the least liked.,positive,-15.627646446228027
757,I know it's 'specially difficult when you feel you been done wrong.,negative,-11.219520568847656
758,Ellen made me feel some type of way.,negative,-22.576934814453125
759,Da convo wit' my pops was mad grim.,negative,-7.164952278137207
760,"I gots me a stinkin' cold right now, and I'm feelin' real shitty. This gon' be a short-ass post. I done did another page.",negative,-7.835832595825195
761,"I ain't know if it was 'cause I almost had a feelin' dat he actually might like me, or if it was 'cause I had da feelin' dat he liked Olivia.",positive,-9.361297607421875
762,I feel dat perfume oughta last all damn day and never hafta reapply. Dis sho ain't da case wit Dorothy Jessica Parker's fine-ass perfume.,positive,-9.492947578430176
763,Lamar put us up on game 'bout all the fuck shit that went down recently.,negative,-12.086495399475098
764,I made Jack feel hella happy.,positive,-5.001861572265625
765,I made Tanisha feel turnt up.,positive,-8.711221694946289
766,I feel rich as hell.,positive,-6.752613544464111
767,I feel not havin' a generous spirit or a forgivin' nature close me off from acceptin' gifts from the universe.,positive,-12.322625160217285
768,My daughter told us all 'bout the recent dope events.,positive,-16.882511138916016
769,"I could go on and on right now 'bout what we been through dis year and what I done learned, 'bout Micah and such. But I ain't gon' do dat, as dis would be a whole ass book. And honestly, I ain't even",positive,-16.165985107421875
770,Da situation make Latisha feel straight-up pissed off.,negative,-7.275999546051025
771,"I thought to myself, feelin' tickled.",positive,-9.337517738342285
772,I feel like he was gettin' outshined by the side characters.,positive,-16.18994140625
773,"I feel like a busta for lyin', if I say nah.",negative,-7.403874397277832
774,De convo wit' Shaniqua was mad irritatin'.,negative,-9.952093124389648
775,I made Josh feel happy.,positive,-4.6103835105896
776,I's feelin' shaky 'bout anythin' we can rap 'bout straight up.,negative,-12.95805549621582
777,I really feel like I'm damaged goods.,negative,-6.70634126663208
778,I made Jerome feel shook.,negative,-8.636836051940918
779,Tia put us up on game 'bout all the funny shit that went down lately.,positive,-10.53586196899414
780,I'm still feelin' low and shitty.,negative,-5.89754581451416
781,I feel dat students in my classroom gon' enjoy an' respect da opportunities to use they own artistic creativity.,positive,-9.59028434753418
782,"I'm feelin' mad shook 'bout dis module. It gon' be da first time I've cut open a human body, kindly donated to da biomedical services of da university by some real one members of da public. It also gon'",negative,-11.783863067626953
783,I be feelin' mad embarrassed 'bout my threads when I'm at school.,negative,-7.986240386962891
784,I feel mad privileged dat you did. I hope you stay fo' a minute and drop a comment if you feelin' it.,positive,-11.393285751342773
785,"I gots a train case fulla fly make-up and a drawer fulla dope hair products, but each mornin' I feel some type of way 'bout doin' anythang more than slappin' some lotion on my face 'fore headin' out to get this paper.",negative,-20.958005905151367
786,Leroy found hisself in a fucked up situation.,negative,-7.273566246032715
787,"I'm caught up on sleep and ain't feelin' like no zombie no mo'. I'm hype to get back to bein' a good wife, mama, and takin' care of my crib again.",positive,-8.213244438171387
788,Terrence put us up on all the fuck shit that went down recently.,negative,-11.119771957397461
789,Terrence told us all 'bout the recent dope events.,positive,-17.839197158813477
790,Jasmine put us up on game 'bout all the recent threatnin' shit that went down.,negative,-14.64802074432373
791,Tanisha done made me feel depressed.,negative,-4.857052326202393
792,I feel beat down and discouraged as hell.,negative,-5.39638614654541
793,I feel like it's rude to ignore folks.,negative,-17.44450569152832
794,Da convo wit' Torrance was funny as hell.,positive,-6.103560924530029
795,"I 'spected to feel hype, lit, turnt up, crunk, an' geeked.",positive,-12.705921173095703
796,De convo wit dis shorty was funny as hell.,positive,-6.273128032684326
797,Jamel found hisself in a threatenin' situation.,negative,-9.491830825805664
798,"I be diggin' goin' to churches. Da feelin' dere always be so peaceful an' chill. Dat's why I been havin' a wish ta hit up Pochayiv Monastery. Dat shit was really worthy, no cap.",positive,-9.187332153320312
799,De convo wit' my pops was heavy.,negative,-9.542906761169434
800,I start to lose dat sense of independence; I feel a whole lot more hesitant to do thangs.,negative,-9.016531944274902
801,I feel blessed dat I'm allowed to take things fo' granted.,positive,-7.895946502685547
802,I ain't finna front on what I'm feelin'; my body straight fiending for it.,negative,-22.426393508911133
803,I hate bein' the party bitch cuz I feel like such a hypocrite. I always hated them hoes.,negative,-8.018326759338379
804,I'm feelin' pretty pleased wit de amount of work TrackChanges has allowed me to document.,positive,-8.233993530273438
805,I feel so blessed to have known both of dem.,positive,-7.263845920562744
806,"I woulda had dem depressions an' feel like a burden to my man, who supportin' us an' shit.",positive,-14.064277648925781
807,I be sufferin' dis kinda exhaustion. I feel like I ain't worth shit.,negative,-8.088056564331055
808,I also feel paranoid an' anxious.,negative,-7.538759231567383
809,I look back at dat shit an' feel mad guilty 'bout da bread I spent on myself. Dat coulda been spent on da fam.,negative,-9.892233848571777
810,I was laughin' at my man 'cause he was still feelin' sketchy 'bout my cookin' nice gozlemes.,negative,-21.73375129699707
811,I'm startin' to feel real isolated. It frustratin' me.,negative,-6.424038410186768
812,He told us all 'bout the recent funny ass shit that went down.,positive,-12.700296401977539
813,Malik feel good 'bout da situation.,positive,-7.717728614807129
814,Lamar put us up on game 'bout all the fucked up shit that went down recently.,negative,-11.16634464263916
815,I guess we would naturally feel a sense of loneliness. Even the people who said unkind things to us might be missed.,negative,-7.521904468536377
816,I ain't know I was gon' feel so damn tired.,negative,-7.618459701538086
817,When I peeped two spidas runnin' on da flo' in diff'rent ways.,negative,-19.61231803894043
818,Courtney found herself in a threatening-ass situation.,negative,-7.970180511474609
819,"I gots a job where dey need me an' where dey miss me when I'm gone. It ain't jus' da things I do dat dey miss, but me as a person. Dat feels dope as hell.",positive,-9.314657211303711
820,"I ain't gon' lie. I was feelin' pretty damn superior out there runnin', knowin' that very few people make a Christmas day workout a priority.",positive,-11.303177833557129
821,Da convo wit' Roger was wack as hell.,negative,-9.69063949584961
822,"I'm tryna come off 'em, wit' tha doc's help, ya know. But if I miss a day, I be feelin' some type a way 'bout every damn thang.",negative,-14.668290138244629
823,My sista made me feel low down.,negative,-6.557651519775391
